state,st,covid_age_group_0_17,covid_age_group_18_49,covid_age_group_50_64,covid_age_group_65plus,age_group_0_17_no_covid,age_group_18_49_no_covid,age_group_50_64_no_covid,age_group_65plus_no_covid,covid_sex_female,covid_sex_male,sex_male_no_covid,sex_female_no_covid,covid_race_white,covid_race_black,covid_race_asian,covid_race_multiple_other,covid_race_am_indian_alaska_native,covid_race_native_hawaiian_other_pacific,covid_no_race,median_income,total_state_population,state_policy_prevention_mandates_score,trump_approval,trump_disapproval,people_who_dont_care_about_trump,number_republican_lean,number_democrat_lean,number_neither_democrat_or_republican,number_conservatives,number_moderates,number_liberals,number_no_political_ideology,economic_confidence_index,number_very_religious,number_moderatly_religious,number_nonreligious,percent_uninsured,number_uninsured,number_insured,number_exercise_frequently,number_dont_exercise_frequently,number_eat_produce_frequently,number_dont_eat_produce_frequently,number_feel_recognize_by_community,number_dont_feel_community_recognition,number_feel_active_and_productive,number_arent_active_and_productive,number_worried_about_money,number_not_worried_about_money,tot_airports,state_land_area_sqmile,airport_area,target_var_covid_st,population_density,covid_age_group_0_17_ratio,covid_age_group_18_49_ratio,covid_age_group_50_64_ratio,covid_age_group_65plus_ratio,age_group_0_17_no_covid_ratio,age_group_18_49_no_covid_ratio,age_group_50_64_no_covid_ratio,age_group_65plus_no_covid_ratio,covid_sex_female_ratio,covid_sex_male_ratio,sex_male_no_covid_ratio,sex_female_no_covid_ratio,covid_race_white_ratio,covid_race_black_ratio,covid_race_asian_ratio,covid_race_multiple_other_ratio,covid_race_am_indian_alaska_native_ratio,covid_race_native_hawaiian_other_pacific_ratio,covid_no_race_ratio,median_income_ratio,trump_approval_ratio,trump_disapproval_ratio,people_who_dont_care_about_trump_ratio,number_republican_lean_ratio,number_democrat_lean_ratio,number_neither_democrat_or_republican_ratio,number_conservatives_ratio,number_moderates_ratio,number_liberals_ratio,number_no_political_ideology_ratio,number_very_religious_ratio,number_moderatly_religious_ratio,number_nonreligious_ratio,percent_uninsured_ratio,number_uninsured_ratio,number_insured_ratio,number_exercise_frequently_ratio,number_dont_exercise_frequently_ratio,number_eat_produce_frequently_ratio,number_dont_eat_produce_frequently_ratio,number_feel_recognize_by_community_ratio,number_dont_feel_community_recognition_ratio,number_feel_active_and_productive_ratio,number_arent_active_and_productive_ratio,number_worried_about_money_ratio,number_not_worried_about_money_ratio
Hawaii,HI,2145,10011,3282,2048,298042,573533,259773,267422,8609,8877,699666,699408,912,123,6510,3944,0,0,5997,88006,1415872,37,410603,849523,155746,396444,707936,311492,353968,566349,353968,141587,1,396444,382285,622984,3,45308,1370564,876425,539447,914653,501219,315739,1100133,1016596,399276,419098,996774,5,6423,0.0008,2.722403861,220.4378017,0.001514967,0.007070554,0.002318006,0.001446458,0.210500667,0.405074046,0.183472094,0.188874418,0.006080352,0.006269635,0.494159077,0.493976857,0.000644126,8.68723E-05,0.004597873,0.002785563,0,0,0.004235552,0.062156749,0.290000085,0.599999859,0.110000057,0.279999887,0.5,0.220000113,0.25,0.400000141,0.25,0.099999859,0.279999887,0.269999689,0.440000226,2.11884E-06,0.032000068,0.967999932,0.619000164,0.380999836,0.64599978,0.35400022,0.222999678,0.777000322,0.717999932,0.282000068,0.295999921,0.704000079
Iowa,IA,35225,178777,65688,47556,686605,1104269,535050,506019,144248,182998,1406187,1440438,183662,6665,2606,435,107,59,133712,66054,3155070,96,1356680,1640636,157754,1325129,1325129,504811,1167376,1104275,757217,126203,8,1167376,946521,1009622,4,123048,3032022,1624861,1530209,1656412,1498658,656255,2498815,2148603,1006467,1025398,2129672,5,82643,0.0001,3.959754607,38.17709909,0.01116457,0.056663402,0.020819823,0.015072883,0.217619577,0.349998257,0.169584193,0.160382812,0.045719429,0.058001249,0.445691221,0.456547081,0.058211704,0.002112473,0.000825972,0.000137873,3.39137E-05,1.87001E-05,0.042380042,0.020935827,0.429999968,0.519999873,0.050000158,0.419999873,0.419999873,0.159999937,0.370000032,0.350000158,0.240000063,0.040000063,0.370000032,0.3,0.319999873,1.2678E-06,0.039000086,0.960999914,0.514999984,0.485000016,0.525000079,0.474999921,0.208000139,0.791999861,0.681000105,0.318999895,0.325000079,0.674999921
Idaho,ID,14811,84847,26965,19794,434544,646116,293060,268823,64707,81710,826537,824314,75693,190,233,5925,484,0,63892,65988,1787065,83,947144,750567,89353,947144,553990,285930,750567,553990,393154,89353,20,696955,428896,661214,14,250189,1536876,1050794,736271,1063304,723761,427109,1359956,1156231,630834,679085,1107980,6,55519,0.0001,2.637241305,32.18834993,0.008287891,0.047478407,0.015088987,0.011076262,0.243160713,0.361551482,0.163989558,0.150427097,0.036208532,0.045723015,0.462510877,0.461266938,0.042356042,0.00010632,0.000130381,0.003315492,0.000270835,0,0.035752477,0.03692535,0.529999748,0.419999832,0.04999986,0.529999748,0.309999916,0.159999776,0.419999832,0.309999916,0.219999832,0.04999986,0.389999804,0.240000224,0.369999972,7.83407E-06,0.139999944,0.860000056,0.587999877,0.412000123,0.595000182,0.404999818,0.23900026,0.76099974,0.646999969,0.353000031,0.380000168,0.619999832
Illinois,IL,111275,557427,214517,147208,2703404,4805115,2242077,1898153,471008,559419,5695469,5983508,431904,87508,18904,26362,1381,580,463788,74399,12671821,40,4181701,7856529,633591,4181701,6335911,2154210,3801546,4688574,3421392,760309,-2,4435137,3674828,4561856,8,975730,11696091,6475301,6196520,7083548,5588273,2306271,10365550,8680197,3991624,4435137,8236684,7,35826,0.0002,28.7619885,353.7046,0.008781295,0.043989494,0.016928664,0.011616957,0.213339819,0.379196881,0.176934081,0.14979323,0.037169717,0.044146694,0.449459395,0.472190066,0.034083815,0.006905716,0.001491814,0.002080364,0.000108982,4.57708E-05,0.036599949,0.005871216,0.330000006,0.619999998,0.049999996,0.330000006,0.500000039,0.170000034,0.299999976,0.370000018,0.270000026,0.059999979,0.349999972,0.289999993,0.360000035,6.31322E-07,0.076999983,0.923000017,0.511000037,0.488999963,0.559000005,0.440999995,0.181999967,0.818000033,0.68499997,0.31500003,0.349999972,0.650000028
Indiana,IN,49836,275937,106988,82472,1517585,2522231,1182828,1002000,228440,286793,3056255,3183872,274997,22341,4203,36303,142,130,177117,66693,7732219,69,3402176,3943432,386611,3324854,3170210,1237155,2783599,2860921,1701088,386611,10,3247532,2087699,2396988,9,664971,7067248,3835181,3897038,4314578,3417641,1353138,6379081,5056871,2675348,2737206,4995013,4,55857,0.0001,9.224143796,138.4288272,0.006445239,0.035686651,0.013836649,0.01066602,0.196267721,0.326197564,0.152973939,0.129587638,0.029543912,0.037090646,0.395262343,0.41176692,0.035565082,0.002889339,0.00054357,0.00469503,1.83647E-05,1.68128E-05,0.022906361,0.008625338,0.439999953,0.51000004,0.050000006,0.429999978,0.410000027,0.159999995,0.360000021,0.369999996,0.219999977,0.050000006,0.420000003,0.269999983,0.310000014,1.16396E-06,0.086000021,0.913999979,0.496000049,0.503999951,0.557999974,0.442000026,0.174999958,0.825000042,0.653999971,0.346000029,0.354000061,0.645999939
Kansas,KS,25245,128747,46539,35305,675056,1070667,492260,442691,106847,128989,1328179,1360180,160936,8634,2710,7412,341,0,55803,73151,2913314,68,1398391,1369258,145666,1398391,990527,524397,1107059,1107059,524397,174799,8,1281858,786595,844861,12,358338,2554976,1509097,1404217,1544056,1369258,591403,2321911,2021840,891474,967220,1946094,4,81759,0,2.884526474,35.63294561,0.008665389,0.044192627,0.015974591,0.012118501,0.231714124,0.367508274,0.168969085,0.151954441,0.036675415,0.044275694,0.455899707,0.466884105,0.055241557,0.002963635,0.000930212,0.002544182,0.000117049,0,0.019154475,0.025109206,0.480000096,0.470000144,0.050000103,0.480000096,0.340000082,0.180000165,0.37999989,0.37999989,0.180000165,0.060000055,0.439999945,0.270000076,0.289999979,4.11902E-06,0.12300013,0.87699987,0.518000119,0.481999881,0.529999856,0.470000144,0.203000089,0.796999911,0.694000029,0.305999971,0.331999915,0.668000085
Kentucky,KY,15841,95395,34569,29596,985984,1741636,845855,724963,72939,102462,2113095,2196529,117584,4977,397,1791,0,0,50652,55662,4467673,46,2278513,2010453,178707,2010453,1831746,625474,1742392,1563686,893535,268060,8,2010453,1340302,1161595,8,348478,4119195,2122145,2345528,2542106,1925567,777375,3690298,2903987,1563686,1519009,2948664,4,39486,0.0001,4.442106063,113.1457479,0.003545694,0.021352279,0.007737585,0.006624478,0.220692965,0.389830679,0.189327867,0.16226859,0.016325949,0.022934087,0.47297441,0.491649456,0.026318847,0.001114003,8.88606E-05,0.00040088,0,0,0.011337446,0.012458835,0.509999949,0.450000034,0.040000018,0.450000034,0.410000016,0.139999951,0.389999895,0.350000101,0.20000009,0.059999915,0.450000034,0.300000022,0.260000004,1.79064E-06,0.077999889,0.922000111,0.475000073,0.524999927,0.569000014,0.430999986,0.173999977,0.826000023,0.649999899,0.350000101,0.34000004,0.65999996
Louisiana,LA,470,9049,5020,5182,1084416,1941053,866889,737012,7932,11789,2257314,2372660,3924,6640,0,0,0,0,9157,51707,4648794,47,2277909,2091957,278928,1998981,1859518,790295,1859518,1627078,790295,371904,1,2417373,1441126,790295,13,581099,4067695,2347641,2301153,2538242,2110552,869324,3779470,3058906,1589888,1757244,2891550,7,43204,0.0002,0.456462365,107.6010092,0.000101101,0.001946526,0.00107985,0.001114698,0.233268241,0.417539043,0.186476105,0.158538322,0.001706249,0.002535927,0.485569806,0.510381832,0.00084409,0.001428327,0,0,0,0,0.001969758,0.01112267,0.489999987,0.449999935,0.060000077,0.42999991,0.400000086,0.170000004,0.400000086,0.350000022,0.170000004,0.080000103,0.520000026,0.30999997,0.170000004,2.79642E-06,0.124999946,0.875000054,0.505000006,0.494999994,0.546000102,0.453999898,0.186999897,0.813000103,0.657999903,0.342000097,0.377999972,0.622000028
Massachusetts,MA,42942,200599,80523,62288,1308835,2762784,1326424,1110005,178688,207664,3145320,3368259,173711,27271,9297,17016,69,0,158988,87707,6892503,36,1860976,4686902,344625,1792051,3928727,1171726,1516351,2550226,2412376,413550,2,1792051,1792051,3377326,3,220560,6671943,3811554,3080949,4032114,2860389,1275113,5617390,4659332,2233171,2364129,4528374,5,30843,0.0002,12.52640794,223.4705768,0.006230248,0.029103941,0.011682694,0.009037065,0.189892554,0.400838999,0.192444457,0.161045269,0.02592498,0.030128968,0.456339301,0.488684445,0.025202891,0.003956618,0.001348857,0.002468769,1.00109E-05,0,0.023066802,0.012724985,0.270000028,0.679999994,0.049999978,0.260000032,0.570000042,0.170000071,0.220000049,0.369999984,0.349999993,0.059999974,0.260000032,0.260000032,0.489999932,4.35256E-07,0.031999986,0.968000014,0.552999977,0.447000023,0.584999963,0.415000037,0.184999992,0.815000008,0.675999996,0.324000004,0.343000068,0.656999932
Maryland,MD,20670,126251,46869,32024,1311617,2398349,1184871,927863,104308,121506,2813378,3013359,43793,31577,825,13245,23,0,136351,95572,6045680,56,1813704,3929692,302284,1692790,3385581,967309,1692790,2236902,1753247,362741,-2,2176445,1934618,1995074,7,441335,5604345,3077251,2968429,3579043,2466637,1051948,4993732,4153382,1892298,1970892,4074788,1,9707,0.0001,23.26300608,622.8165242,0.00341897,0.020882845,0.007752478,0.005297005,0.216951112,0.396704589,0.19598639,0.153475374,0.017253311,0.020097987,0.465353442,0.498431773,0.007243685,0.005223068,0.000136461,0.002190821,3.80437E-06,0,0.02255346,0.015808313,0.3,0.65,0.05,0.279999934,0.560000033,0.160000033,0.279999934,0.370000066,0.289999967,0.060000033,0.360000033,0.320000066,0.329999934,1.15785E-06,0.07300006,0.92699994,0.50899998,0.49100002,0.592000073,0.407999927,0.173999947,0.826000053,0.686999974,0.313000026,0.326000053,0.673999947
