state,st,covid_age_group_0_17,covid_age_group_18_49,covid_age_group_50_64,covid_age_group_65plus,age_group_0_17_no_covid,age_group_18_49_no_covid,age_group_50_64_no_covid,age_group_65plus_no_covid,covid_sex_female,covid_sex_male,sex_male_no_covid,sex_female_no_covid,covid_race_white,covid_race_black,covid_race_asian,covid_race_multiple_other,covid_race_am_indian_alaska_native,covid_race_native_hawaiian_other_pacific,covid_no_race,median_income,total_state_population,state_policy_prevention_mandates_score,trump_approval,trump_disapproval,people_who_dont_care_about_trump,number_republican_lean,number_democrat_lean,number_neither_democrat_or_republican,number_conservatives,number_moderates,number_liberals,number_no_political_ideology,economic_confidence_index,number_very_religious,number_moderatly_religious,number_nonreligious,percent_uninsured,number_uninsured,number_insured,number_exercise_frequently,number_dont_exercise_frequently,number_eat_produce_frequently,number_dont_eat_produce_frequently,number_feel_recognize_by_community,number_dont_feel_community_recognition,number_feel_active_and_productive,number_arent_active_and_productive,number_worried_about_money,number_not_worried_about_money,tot_airports,state_land_area_sqmile,airport_area,target_var_covid_st,population_density,covid_age_group_0_17_ratio,covid_age_group_18_49_ratio,covid_age_group_50_64_ratio,covid_age_group_65plus_ratio,age_group_0_17_no_covid_ratio,age_group_18_49_no_covid_ratio,age_group_50_64_no_covid_ratio,age_group_65plus_no_covid_ratio,covid_sex_female_ratio,covid_sex_male_ratio,sex_male_no_covid_ratio,sex_female_no_covid_ratio,covid_race_white_ratio,covid_race_black_ratio,covid_race_asian_ratio,covid_race_multiple_other_ratio,covid_race_am_indian_alaska_native_ratio,covid_race_native_hawaiian_other_pacific_ratio,covid_no_race_ratio,median_income_ratio,trump_approval_ratio,trump_disapproval_ratio,people_who_dont_care_about_trump_ratio,number_republican_lean_ratio,number_democrat_lean_ratio,number_neither_democrat_or_republican_ratio,number_conservatives_ratio,number_moderates_ratio,number_liberals_ratio,number_no_political_ideology_ratio,number_very_religious_ratio,number_moderatly_religious_ratio,number_nonreligious_ratio,percent_uninsured_ratio,number_uninsured_ratio,number_insured_ratio,number_exercise_frequently_ratio,number_dont_exercise_frequently_ratio,number_eat_produce_frequently_ratio,number_dont_eat_produce_frequently_ratio,number_feel_recognize_by_community_ratio,number_dont_feel_community_recognition_ratio,number_feel_active_and_productive_ratio,number_arent_active_and_productive_ratio,number_worried_about_money_ratio,number_not_worried_about_money_ratio
Maine,ME,2511,13578,5639,4437,243842,496678,297640,281541,10757,15408,644129,677125,17782,1080,38,72,0,0,7193,66546,1344212,32,564569,739317,40326,524243,631780,188190,457032,416706,403264,67211,4,295727,295727,739317,9,122323,1221889,737972,606240,834756,509456,333365,1010847,935572,408640,466442,877770,2,7800,0.0003,3.354487179,172.3348718,0.001868009,0.010101085,0.004195023,0.003300819,0.181401446,0.3694938,0.221423406,0.209446873,0.008002458,0.011462478,0.479187063,0.503733786,0.013228568,0.000803445,2.82694E-05,5.3563E-05,0,0,0.00535109,0.049505584,0.41999997,0.550000298,0.029999732,0.390000238,0.470000268,0.140000238,0.33999994,0.310000208,0.300000298,0.050000298,0.220000268,0.220000268,0.550000298,6.69537E-06,0.090999783,0.909000217,0.548999711,0.451000289,0.621000259,0.378999741,0.248000315,0.751999685,0.696000333,0.303999667,0.347000324,0.652999676
Michigan,MI,26095,173212,68356,58485,2116727,3871529,1972637,1707924,144945,181203,4756092,4926007,201288,26749,2954,17013,192,0,77952,64119,9986857,36,3994743,5492771,499343,3795006,4494086,1697766,3395531,3595269,2296977,699080,8,3595269,2896189,3395531,7,699080,9287777,5143231,4843626,5732456,4254401,1807621,8179236,6631273,3355584,3415505,6571352,15,56539,0.0003,5.768549143,176.6366048,0.002612934,0.017343995,0.006844596,0.005856197,0.211951268,0.387662405,0.197523305,0.171017168,0.014513575,0.018144147,0.476235116,0.493248977,0.02015529,0.00267842,0.000295789,0.001703539,1.92253E-05,0,0.007805459,0.006420338,0.40000002,0.549999965,0.050000015,0.380000034,0.450000035,0.170000031,0.339999962,0.360000048,0.229999989,0.070000001,0.360000048,0.290000047,0.339999962,7.00921E-07,0.070000001,0.929999999,0.514999964,0.485000036,0.574000008,0.425999992,0.180999988,0.819000012,0.663999995,0.336000005,0.341999991,0.658000009
Minnesota,MN,51446,235571,85321,56961,1251223,2083910,1015935,864530,195651,233648,2594789,2639765,281882,30399,14813,26122,2096,11,73976,81426,5639632,36,2086664,3270987,281982,2086664,2650627,902341,1804682,2030268,1522701,281982,12,2086664,1579097,1973871,6,315819,5323813,3090518,2549114,3107437,2532195,1094089,4545543,3970301,1669331,1703169,3936463,8,79627,0.0001,5.391374785,70.82562447,0.009122226,0.041770633,0.015128824,0.010100127,0.221862526,0.369511699,0.180142073,0.153295463,0.034692157,0.041429654,0.460098992,0.468073981,0.049982339,0.005390245,0.00262659,0.004631863,0.000371655,1.95048E-06,0.013117168,0.014438176,0.370000028,0.580000078,0.050000071,0.370000028,0.469999993,0.159999979,0.319999957,0.360000085,0.270000064,0.050000071,0.370000028,0.280000007,0.349999965,1.0639E-06,0.05599993,0.94400007,0.54799994,0.45200006,0.550999959,0.449000041,0.19400007,0.80599993,0.704000013,0.295999987,0.302000024,0.697999976
Missouri,MO,4187,34375,11802,9617,1368508,2468389,1193238,1048326,25729,34252,2977459,3103530,26935,10645,304,12235,0,0,9862,60597,6137428,82,2884591,2945965,306871,2761843,2332223,1043363,2332223,2148100,1288860,368246,9,2393597,1841228,1963977,10,638293,5499135,3252837,2884591,3363311,2774117,1123149,5014279,4136626,2000802,2074451,4062977,5,46923,0.0001,1.278285702,130.7978603,0.000682208,0.00560088,0.001922955,0.001566943,0.222977443,0.402186225,0.194419878,0.170808684,0.004192147,0.005580839,0.485131394,0.505672735,0.004388646,0.00173444,4.95321E-05,0.001993506,0,0,0.001606862,0.009873354,0.469999974,0.479999928,0.049999935,0.450000065,0.380000059,0.170000039,0.380000059,0.350000033,0.21000002,0.060000052,0.390000013,0.299999935,0.320000007,1.62935E-06,0.10400008,0.89599992,0.530000026,0.469999974,0.548000074,0.451999926,0.182999947,0.817000053,0.673999923,0.326000077,0.338000055,0.661999945
Mississippi,MS,4792,27912,10464,9170,693628,1202756,550921,477634,19895,32443,1407546,1521297,16372,21130,0,700,734,0,13402,44787,2976149,86,1428552,1369029,178569,1339267,1130937,505945,1279744,1041652,416661,238092,4,1755928,863083,357138,17,511898,2464251,1541645,1434504,1666643,1309506,583325,2392824,1955330,1020819,1127960,1848189,5,68742,0.0001,0.761368596,43.2944779,0.001610134,0.009378563,0.003515953,0.003081163,0.233062256,0.404131648,0.185112036,0.160487261,0.006684813,0.010901,0.472942047,0.511162916,0.005501069,0.007099779,0,0.000235203,0.000246627,0,0.004503135,0.015048642,0.480000161,0.460000155,0.06000002,0.449999983,0.380000128,0.169999889,0.429999976,0.34999995,0.140000047,0.080000027,0.59000003,0.289999929,0.12000004,5.71208E-06,0.172000125,0.827999875,0.517999939,0.482000061,0.559999852,0.440000148,0.195999931,0.804000069,0.657000036,0.342999964,0.378999842,0.621000158
Montana,MT,9610,43677,16358,13545,216914,381389,193984,194364,37530,45660,495413,494078,49757,36,22,1275,6084,0,26016,60195,1068778,84,555765,480950,32063,545077,395448,128253,448887,363385,224443,32063,11,342009,309946,416823,11,120772,948006,609203,459575,598516,470262,293914,774864,756695,312083,344147,724631,8,145546,0.0001,0.571571874,7.343231693,0.008991577,0.040866298,0.01530533,0.012673352,0.202955151,0.356845856,0.181500742,0.181856288,0.03511487,0.042721688,0.463532183,0.462283093,0.046555038,3.36833E-05,2.05843E-05,0.001192951,0.005692482,0,0.024341818,0.056321331,0.520000412,0.449999906,0.029999682,0.510000206,0.370000131,0.119999663,0.420000225,0.340000449,0.209999644,0.029999682,0.320000037,0.290000356,0.389999607,1.02921E-05,0.11300008,0.88699992,0.56999957,0.43000043,0.560000299,0.439999701,0.275000047,0.724999953,0.708000165,0.291999835,0.322000453,0.677999547
North Carolina,NC,65116,323031,116374,85393,2228856,4099665,1913220,1665542,260366,329548,4795986,5133391,287384,83788,4770,15878,4285,11,193798,61159,10488084,47,4195234,5663565,629285,4090353,4614757,1782974,3775710,3775710,2202498,734166,8,4824519,3251306,2412259,14,1426379,9061705,5558685,4929399,6135529,4352555,2076641,8411443,7100433,3387651,3639365,6848719,8,76824,0.0001,7.678772259,136.520931,0.00620857,0.030799811,0.01109583,0.008141907,0.212513172,0.390887888,0.182418447,0.158803267,0.024824935,0.031421182,0.457279518,0.489449837,0.027401001,0.007988876,0.000454802,0.001513909,0.000408559,1.04881E-06,0.018477922,0.005831284,0.400000038,0.539999966,0.059999996,0.390000023,0.440000004,0.169999973,0.359999977,0.359999977,0.210000034,0.070000011,0.460000034,0.309999996,0.229999969,1.33485E-06,0.13599996,0.86400004,0.530000046,0.469999954,0.584999987,0.415000013,0.198000035,0.801999965,0.677000013,0.322999987,0.346999986,0.653000014
North Dakota,ND,1768,14876,4490,3040,174938,317688,129026,117137,9913,14261,375706,363810,0,0,97,0,484,0,23593,70031,762062,80,434375,297204,30482,426755,213377,121930,297204,320066,114309,30482,25,304825,236239,220998,7,52582,709480,401607,360455,397034,365028,173750,588312,541064,220998,230143,531919,8,109781,0.0001,0.220202039,6.941656571,0.002320021,0.019520721,0.005891909,0.003989177,0.22955875,0.416879467,0.169311683,0.15371059,0.013008128,0.0187137,0.49301238,0.477402101,0,0,0.000127286,0,0.000635119,0,0.030959423,0.091896722,0.569999554,0.389999764,0.03999937,0.560000367,0.279999528,0.160000105,0.389999764,0.419999948,0.149999606,0.03999937,0.400000262,0.309999711,0.290000026,9.1856E-06,0.068999635,0.931000365,0.527000428,0.472999572,0.520999604,0.479000396,0.227999822,0.772000178,0.709999974,0.290000026,0.302000362,0.697999638
Nebraska,NE,11843,64084,22686,14833,463253,737417,328823,297462,48001,65445,911039,919757,85089,2425,1114,252,45,0,24521,73071,1934408,81,947860,909172,77376,967204,677043,290161,793107,638355,406226,96720,12,889828,560978,483602,11,216654,1717754,1063924,870484,1013630,920778,415898,1518510,1377298,557110,624814,1309594,3,8953,0.0003,12.67128337,216.0625489,0.006122287,0.033128482,0.011727619,0.007667979,0.239480503,0.381210686,0.169986373,0.153774178,0.02481431,0.033832056,0.470965277,0.475472082,0.043987101,0.001253614,0.000575887,0.000130272,2.32629E-05,0,0.01267623,0.037774348,0.490000041,0.470000124,0.039999835,0.5,0.350000103,0.149999897,0.409999855,0.330000186,0.210000165,0.049999793,0.460000165,0.289999835,0.25,5.68649E-06,0.112000157,0.887999843,0.549999793,0.450000207,0.524000108,0.475999892,0.215000145,0.784999855,0.711999744,0.288000256,0.323000112,0.676999888
New Hampshire,NH,4697,18296,6220,7965,251323,522801,304625,245182,16256,20922,654825,670495,18849,338,152,1209,0,0,16630,86900,1359711,70,571079,761438,27194,543884,584676,231151,421510,530287,339928,67986,11,312734,353525,693453,8,103338,1256373,773676,586035,857978,501733,262424,1097287,917805,441906,493575,866136,1,7354,0.0001,5.055480011,184.8940713,0.003454411,0.013455801,0.004574501,0.005857862,0.184835601,0.384494205,0.224036578,0.1803192,0.011955482,0.015387093,0.481591309,0.493115817,0.013862505,0.000248582,0.000111788,0.00088916,0,0,0.01223054,0.06391064,0.420000279,0.559999882,0.019999838,0.399999706,0.430000199,0.170000096,0.309999698,0.389999787,0.250000184,0.050000331,0.230000346,0.260000103,0.510000287,5.8836E-06,0.075999974,0.924000026,0.569000324,0.430999676,0.631000264,0.368999736,0.192999836,0.807000164,0.675000055,0.324999945,0.362999932,0.637000068
New Jersey,NJ,48916,285987,128388,89167,1889108,3351467,1710320,1385908,264952,287506,4062418,4274647,206559,45765,16938,7815,0,0,275381,87726,8882190,35,3019945,5418136,444110,2931123,4263451,1687616,2487013,3375232,2398191,621753,4,2842301,2931123,3197588,9,826044,8056146,4467742,4414448,5116141,3766049,1598794,7283396,6208651,2673539,3028827,5853363,3,121298,0,4.5545516,73.22618675,0.0055072,0.032197803,0.014454543,0.010038853,0.212684935,0.377324399,0.192556115,0.15603224,0.02982958,0.032368819,0.457366708,0.481260477,0.023255413,0.005152446,0.001906962,0.000879851,0,0,0.031003728,0.009876618,0.340000045,0.610000011,0.050000056,0.330000034,0.479999977,0.189999989,0.279999977,0.379999977,0.269999966,0.069999966,0.320000023,0.330000034,0.359999955,1.01326E-06,0.093000037,0.906999963,0.503000048,0.496999952,0.57599995,0.42400005,0.179999977,0.820000023,0.699000021,0.300999979,0.341000024,0.658999976
New Mexico,NM,19220,82879,26454,17106,454630,774771,363340,360624,64783,80876,966565,995338,58191,935,510,3649,23360,0,59014,53113,2096829,41,733890,1237129,125810,712922,1006478,377429,670985,775827,524207,125810,-6,796795,545176,754858,9,188715,1908114,1274872,821957,1283259,813570,467593,1629236,1467780,629049,759052,1337777,4,47126,0.0001,3.090841574,44.49410092,0.009166222,0.039525875,0.012616193,0.008158033,0.216817871,0.369496511,0.173280701,0.171985412,0.0308957,0.038570623,0.460965105,0.474687254,0.027751905,0.000445911,0.000243224,0.001740247,0.011140632,0,0.028144403,0.025330153,0.349999928,0.589999948,0.060000124,0.340000067,0.480000038,0.179999895,0.319999866,0.370000129,0.249999881,0.060000124,0.37999999,0.260000219,0.35999979,4.2922E-06,0.090000186,0.909999814,0.607999985,0.392000015,0.611999834,0.388000166,0.223000063,0.776999937,0.699999857,0.300000143,0.361999953,0.638000047
Nevada,NV,24613,135276,43904,24904,666124,1178974,533779,473315,109125,119572,1429388,1426252,97709,14221,13056,45111,371,1717,56512,70906,3080156,46,1293666,1632483,154008,1201261,1293666,585230,1016451,1201261,677634,184809,10,800841,1016451,1262864,11,344977,2735179,1604761,1475395,1801891,1278265,582149,2498007,2097586,982570,1059574,2020582,3,48618,0.0001,4.703957382,63.35423094,0.007990829,0.043918555,0.014253824,0.008085305,0.216263072,0.382764379,0.173296093,0.153665918,0.0354284,0.038820112,0.464063508,0.463045378,0.031722095,0.004616974,0.004238746,0.014645687,0.000120448,0.000557439,0.018347123,0.023020263,0.420000156,0.530000104,0.050000065,0.390000052,0.420000156,0.190000117,0.329999844,0.390000052,0.219999896,0.059999883,0.260000143,0.329999844,0.410000013,3.57125E-06,0.111999847,0.888000153,0.52099991,0.47900009,0.584999916,0.415000084,0.188999843,0.811000157,0.680999923,0.319000077,0.344000109,0.655999891
New York,NY,110896,633420,291154,207352,3911200,7634726,3585504,3088616,590432,652390,8822724,9412319,289076,97336,33919,60603,4213,67,757608,71855,19453561,31,5836068,12255743,1361749,5641533,10115852,3696177,5252461,6808746,6030604,1361749,-1,6030604,5641533,7781424,7,1361749,18091812,9882409,9571152,11146890,8306671,3890712,15562849,12917165,6536396,6944921,12508640,14,69001,0.0002,18.01165201,281.9315807,0.00570055,0.03256062,0.014966617,0.01065882,0.201053165,0.392459046,0.184310934,0.15876867,0.030350844,0.033535762,0.453527454,0.483835273,0.014859799,0.005003506,0.001743588,0.003115265,0.000216567,3.4441E-06,0.038944438,0.003693668,0.299999985,0.629999978,0.069999986,0.290000016,0.520000014,0.190000021,0.269999976,0.349999982,0.310000005,0.069999986,0.310000005,0.290000016,0.399999979,3.59831E-07,0.069999986,0.930000014,0.508000001,0.491999999,0.572999977,0.427000023,0.19999999,0.80000001,0.664000025,0.335999975,0.356999986,0.643000014
Ohio,OH,55460,376708,156158,126373,2519387,4365979,2183131,1917175,313651,401048,5362557,5643242,414857,71341,7337,40006,48,0,181110,64663,11689100,47,5260095,5844550,584455,4909422,4792531,1987147,4091185,4441858,2454711,701346,7,4324967,3506730,3857403,7,864993,10824107,5809483,5879617,6627720,5061380,2022214,9666886,7644671,4044429,4161320,7527780,5,40861,0.0001,17.49098162,286.0698466,0.004744591,0.032227289,0.013359283,0.010811183,0.215533018,0.373508568,0.186766389,0.16401391,0.026832776,0.03430957,0.458765602,0.482778144,0.035490927,0.006103207,0.000627679,0.003422505,4.10639E-06,0,0.015493922,0.005531906,0.45,0.5,0.05,0.42,0.41,0.17,0.35,0.38,0.21,0.06,0.37,0.3,0.33,5.98848E-07,0.073999966,0.926000034,0.497000026,0.502999974,0.567000026,0.432999974,0.172999974,0.827000026,0.653999966,0.346000034,0.356000034,0.643999966
Oklahoma,OK,37523,169535,58545,43974,914706,1489116,656808,591248,141575,168002,1803789,1852919,169695,13213,3054,5185,22355,274,95801,59397,3956971,86,2097195,1582788,276988,1938916,1384940,633115,1661928,1384940,672685,237418,10,1780637,1187091,989243,16,644986,3311985,2105109,1851862,2120936,1836035,728083,3228888,2532461,1424510,1388897,2568074,3,68595,0,4.513113201,57.68599752,0.009482758,0.042844641,0.014795408,0.011113046,0.23116318,0.376327246,0.16598757,0.149419341,0.03577863,0.042457223,0.455850953,0.468267015,0.042885075,0.00333917,0.000771802,0.001310346,0.005649523,6.92449E-05,0.02421069,0.015010724,0.530000094,0.399999899,0.070000008,0.490000053,0.350000038,0.159999909,0.420000045,0.350000038,0.169999982,0.059999934,0.450000013,0.299999924,0.250000063,4.0435E-06,0.162999931,0.837000069,0.532000108,0.467999892,0.535999885,0.464000115,0.184000085,0.815999915,0.639999889,0.360000111,0.351000045,0.648999955
Oregon,OR,13104,72865,20858,14687,849712,1732423,763979,752809,53881,67633,2031914,2074180,51096,1882,2690,19457,806,414,45169,74413,4217737,40,1518385,2488465,210887,1518385,2066691,632661,1180966,1518385,1307498,210887,3,1180966,1054434,2024514,9,383814,3833923,2383021,1834716,2572820,1644917,847765,3369972,2876497,1341240,1429813,2787924,5,95988,0.0001,1.265929074,43.94025295,0.003106879,0.017275852,0.004945306,0.003482199,0.201461589,0.410747043,0.181134812,0.178486473,0.01277486,0.016035376,0.481754552,0.491775566,0.012114553,0.000446211,0.000637783,0.004613137,0.000191098,9.81569E-05,0.010709297,0.017642873,0.359999924,0.59000004,0.050000036,0.359999924,0.489999969,0.150000107,0.279999915,0.359999924,0.309999889,0.050000036,0.279999915,0.249999941,0.480000057,2.13385E-06,0.090999984,0.909000016,0.564999904,0.435000096,0.610000102,0.389999898,0.200999968,0.799000032,0.682000087,0.317999913,0.339000037,0.660999963
Pennsylvania,PA,51648,338184,148121,128632,2580677,4807632,2494778,2259586,298688,367897,5921169,6230774,245449,34608,4991,24185,75,0,357277,70582,12801989,39,5376835,6785054,640099,5248815,5888915,1664259,4352676,4736736,3072477,640099,3,4608716,3840597,4352676,6,806525,11995464,6567420,6234569,7373946,5428043,2509190,10292799,8654145,4147844,4237458,8564531,8,44743,0.0002,14.89808462,286.1227231,0.004034373,0.02641652,0.011570155,0.010047814,0.201584066,0.375537895,0.19487425,0.176502729,0.023331375,0.028737488,0.462519457,0.48670359,0.019172724,0.00270333,0.000389861,0.00188916,5.85846E-06,0,0.027907929,0.005513362,0.41999997,0.529999987,0.049999965,0.409999962,0.460000005,0.130000034,0.33999998,0.370000005,0.239999972,0.049999965,0.359999997,0.300000023,0.33999998,4.68677E-07,0.062999976,0.937000024,0.512999972,0.487000028,0.576000026,0.423999974,0.196000012,0.803999988,0.676000034,0.323999966,0.330999972,0.669000028
Rhode Island,RI,3451,20775,7997,7218,200124,424976,215228,179937,16570,22871,496538,525570,7390,1640,101,2222,196,0,27892,70151,1059361,33,338996,656804,63562,286027,508493,264840,254247,423744,307215,74155,-1,338996,307215,413151,7,74155,985206,526502,532859,601717,457644,184329,875032,686466,372895,400438,658923,1,1034,0.001,38.14410058,1024.527079,0.003257624,0.019610879,0.00754889,0.006813541,0.188910107,0.401162588,0.203167759,0.16985428,0.015641505,0.02158943,0.468714631,0.496119831,0.006975903,0.001548103,9.53405E-05,0.002097491,0.000185017,0,0.02632908,0.066220108,0.320000453,0.62000017,0.060000321,0.269999556,0.479999736,0.249999764,0.24000034,0.399999622,0.290000293,0.069999745,0.320000453,0.290000293,0.390000198,6.60776E-06,0.069999745,0.930000255,0.496999606,0.503000394,0.567999955,0.432000045,0.174000176,0.825999824,0.648000068,0.351999932,0.377999568,0.622000432
South Carolina,SC,34618,175917,67171,53779,1077682,1916859,945870,881759,141037,190448,2316188,2522676,137393,57938,403,9391,0,0,126360,62028,5148714,87,2471383,2368408,308923,2419896,1905024,823794,2110973,1802050,875281,360410,9,2574357,1544614,1029743,13,674482,4474232,2682480,2466234,2893577,2255137,1019445,4129269,3418746,1729968,1740265,3408449,4,30061,0.0001,11.02707827,171.2755397,0.006723621,0.034167173,0.01304617,0.010445133,0.209310908,0.372298597,0.183709952,0.171258104,0.027392665,0.036989431,0.449857576,0.489962348,0.026684916,0.011252907,7.8272E-05,0.001823951,0,0,0.024542051,0.01204728,0.480000054,0.459999915,0.060000031,0.470000082,0.369999965,0.159999953,0.41000005,0.350000019,0.169999926,0.070000004,0.5,0.299999961,0.200000039,2.5249E-06,0.131000091,0.868999909,0.521000001,0.478999999,0.561999948,0.438000052,0.197999928,0.802000072,0.663999981,0.336000019,0.337999936,0.662000064
South Dakota,SD,6298,32418,11847,7919,208971,318949,153611,145880,26222,32260,421007,408979,38128,835,403,790,4772,0,13554,64255,884659,89,477716,371557,35386,460023,309631,115006,362710,353864,132699,35386,19,327324,265398,291937,10,87581,797078,458253,426406,475062,409597,196394,688265,615723,268936,273360,611299,3,75811,0,0.771418396,11.66926963,0.007119127,0.036644628,0.013391601,0.008951472,0.23621644,0.360533268,0.173638656,0.164899696,0.029640799,0.036466028,0.475897493,0.462301293,0.043099092,0.000943867,0.000455543,0.000892999,0.005394169,0,0.015321158,0.072632506,0.540000158,0.420000249,0.039999593,0.520000362,0.350000396,0.130000373,0.409999785,0.400000452,0.15000017,0.039999593,0.370000192,0.300000339,0.329999469,1.13038E-05,0.098999728,0.901000272,0.517999591,0.482000409,0.537000132,0.462999868,0.221999663,0.778000337,0.69600038,0.30399962,0.309000417,0.690999583
Tennessee,TN,72678,320232,118600,85101,1438074,2537985,1211414,1053864,262637,333974,3024302,3237422,348906,69656,2475,17233,22,0,158319,56627,6829174,81,3414587,3004837,409750,3209712,2390211,1229251,2731670,2458503,1229251,409750,11,3346295,2048752,1502418,12,805843,6023331,3578487,3250687,3906288,2922886,1290714,5538460,4438963,2390211,2431186,4397988,5,41235,0.0001,14.46855826,165.6159573,0.010642283,0.046891762,0.017366668,0.01246139,0.210578029,0.371638649,0.177388071,0.154317931,0.038458092,0.048904011,0.442850336,0.474057624,0.051090513,0.010199769,0.000362416,0.002523438,3.22147E-06,0,0.023182745,0.008291925,0.5,0.440000064,0.059999936,0.470000032,0.350000015,0.179999953,0.400000059,0.360000053,0.179999953,0.059999936,0.489999962,0.299999971,0.219999959,1.75717E-06,0.118000069,0.881999931,0.523999974,0.476000026,0.572000069,0.427999931,0.189000017,0.810999983,0.649999985,0.350000015,0.356000008,0.643999992
Texas,TX,3274,46873,15164,7056,7393357,12835093,4965956,3731671,43944,28423,14362294,14566175,36283,9731,319,48,0,0,25986,67444,28995881,88,11308394,15657776,2029712,11888311,11018435,6089135,11018435,10148558,5799176,2029712,11,12468229,9278682,7248970,21,5944156,23051725,15657776,13338105,16208697,12787184,5770180,23225701,20587076,8408805,10177554,18818327,24,261232,0.0001,0.277021957,110.9966658,0.000112913,0.00161654,0.000522971,0.000243345,0.254979561,0.442652286,0.171264187,0.12869659,0.001515526,0.000980243,0.49532187,0.502353248,0.001251316,0.000335599,1.10016E-05,1.65541E-06,0,0,0.000896196,0.002325986,0.390000014,0.540000009,0.070000011,0.409999993,0.380000008,0.21,0.380000008,0.349999988,0.199999993,0.070000011,0.430000006,0.320000003,0.249999991,7.24241E-07,0.205000014,0.794999986,0.540000009,0.459999991,0.558999983,0.441000017,0.198999989,0.801000011,0.710000017,0.289999983,0.350999992,0.649000008
Utah,UT,45788,181904,44630,23542,884520,1276804,408904,341656,144071,151793,1464251,1451216,221840,2583,4116,21111,2377,5998,37839,84523,3205958,80,1538860,1506800,160298,1795336,929728,480894,1346502,1154145,577072,128238,24,1731217,512953,961787,10,310978,2894980,1779307,1426651,1785719,1420239,596308,2609650,2231347,974611,1125291,2080667,5,82170,0.0001,3.600632834,39.01616162,0.014282158,0.056739358,0.013920956,0.007343203,0.275898811,0.39825974,0.127545027,0.106569082,0.044938518,0.047347158,0.456728067,0.4526622,0.069196165,0.000805687,0.00128386,0.006584927,0.000741432,0.001870892,0.011802712,0.02636435,0.48000005,0.469999919,0.050000031,0.55999985,0.290000056,0.150000094,0.419999888,0.360000037,0.179999863,0.0399999,0.5399999,0.159999913,0.299999875,3.11919E-06,0.097000023,0.902999977,0.555000097,0.444999903,0.557000123,0.442999877,0.185999941,0.814000059,0.696000072,0.303999928,0.35099992,0.64900008
Virginia,VA,34105,212967,73489,49146,1823500,3446687,1596390,1309190,164025,205682,4022564,4169695,148503,50518,8359,34658,39,11,127619,81313,8535519,29,3158142,4865246,512131,3243497,3840984,1451038,2816721,3243497,1963169,512131,8,3243497,2560656,2646011,10,836481,7699038,4617716,3917803,4967672,3567847,1638820,6896699,5872437,2663082,2876470,5659049,7,9217,0.0008,40.11142454,926.0626017,0.003995656,0.02495068,0.008609787,0.005757822,0.213636687,0.403805205,0.187029049,0.153381417,0.019216758,0.024097187,0.47127351,0.488511009,0.017398239,0.005918562,0.000979319,0.004060444,4.56914E-06,1.28873E-06,0.014951522,0.009526427,0.369999996,0.57000002,0.059999984,0.379999974,0.450000053,0.169999973,0.329999968,0.379999974,0.229999957,0.059999984,0.379999974,0.300000035,0.310000013,1.17157E-06,0.098000016,0.901999984,0.541000026,0.458999974,0.581999993,0.418000007,0.192000041,0.807999959,0.687999992,0.312000008,0.337000011,0.662999989
Vermont,VT,724,4546,1338,976,112835,245879,134675,124225,2568,5016,306288,312257,4215,226,273,25,0,0,2845,74305,623989,19,162237,430552,31199,187197,324474,112318,155997,199676,243356,24960,-13,99838,162237,368154,6,38063,585926,401849,222140,397481,226508,139774,484215,478600,145389,252092,371897,1,39490,0,0.19204862,15.80119017,0.001160277,0.007285385,0.002144269,0.00156413,0.180828508,0.394043805,0.215829125,0.199082035,0.004115457,0.008038603,0.490854807,0.50042068,0.006754927,0.000362186,0.000437508,4.00648E-05,0,0,0.004559375,0.119080625,0.259999776,0.689999343,0.049999279,0.300000481,0.519999551,0.179999968,0.249999599,0.319999231,0.390000465,0.040000705,0.159999615,0.259999776,0.590000785,9.61555E-06,0.060999473,0.939000527,0.644000135,0.355999865,0.637000011,0.362999989,0.224000744,0.775999256,0.7670007,0.2329993,0.404000712,0.595999288
Washington,WA,29553,157934,47080,30071,1633412,3174197,1368618,1177614,122578,142060,3682426,3684743,82645,7473,7442,11855,957,1609,152657,82454,7614893,31,2589064,4568936,456894,2589064,3731298,1294532,2208319,2741361,2284468,380745,8,2132170,1979872,3579000,7,548272,7066621,4233881,3381012,4561321,3053572,1454445,6160448,5109593,2505300,2520530,5094363,4,66456,0.0001,3.982153605,114.5854851,0.003880948,0.020740147,0.006182621,0.003948972,0.214502292,0.416840657,0.179729118,0.154646165,0.01609714,0.018655548,0.483582107,0.483886379,0.010853074,0.000981366,0.000977295,0.001556818,0.000125675,0.000211296,0.020047163,0.010827992,0.34000005,0.600000026,0.060000055,0.34000005,0.490000056,0.170000025,0.290000004,0.359999937,0.300000013,0.050000046,0.279999995,0.259999976,0.470000038,9.19251E-07,0.071999961,0.928000039,0.556000065,0.443999935,0.599000012,0.400999988,0.191000057,0.808999943,0.670999973,0.329000027,0.331000055,0.668999945
