State,Abbreviation, Population ,State Policy Prevention Mandates Score, Trump approval , Trump disapproval , People who don't care about Trump , Number of people who are Republican/lean ,Number of people who are Democrat/lean,Number of people who are Neither Democrat or Republican,Number of Conservatives,Number of Moderates,Number of Liberals,Number of people who have no political ideology,Economic Confidence Index,Number of people who are very religious,Number of people who Moderatly religious,Number of people who are Nonreligious,% Uninsured,Number of people who are uninsured,Number of people who are Insured,Number of People Who Exercise frequently,Number of people who don't exercise frequently,Number of people who eat produce frequently,Number of people who don't eat produce frequently,Number of people who feel recognize by their community ,Number of people that don't feel community recognition,Number of people who Feel active and productive,Number of people that aren't active and productive,Number of people who are Worried about money,Number of people who aren't worried about money
Louisiana,LA,"4,648,794",47.36,"2,277,909","2,091,957","278,928","1,998,981","1,859,518","790,295","1,859,518","1,627,078","790,295","371,904",1,"2,417,373","1,441,126","790,295",12.5,"581,099","4,067,695","2,347,641","2,301,153","2,538,242","2,110,552","869,324","3,779,470","3,058,906","1,589,888","1,757,244","2,891,550"
Maine,ME,"1,344,212",32.02,"564,569","739,317","40,326","524,243","631,780","188,190","457,032","416,706","403,264","67,211",4,"295,727","295,727","739,317",9.1,"122,323","1,221,889","737,972","606,240","834,756","509,456","333,365","1,010,847","935,572","408,640","466,442","877,770"
Maryland,MD,"6,045,680",56.43,"1,813,704","3,929,692","302,284","1,692,790","3,385,581","967,309","1,692,790","2,236,902","1,753,247","362,741",-2,"2,176,445","1,934,618","1,995,074",7.3,"441,335","5,604,345","3,077,251","2,968,429","3,579,043","2,466,637","1,051,948","4,993,732","4,153,382","1,892,298","1,970,892","4,074,788"
Massachusetts,MA,"6,892,503",36.28,"1,860,976","4,686,902","344,625","1,792,051","3,928,727","1,171,726","1,516,351","2,550,226","2,412,376","413,550",2,"1,792,051","1,792,051","3,377,326",3.2,"220,560","6,671,943","3,811,554","3,080,949","4,032,114","2,860,389","1,275,113","5,617,390","4,659,332","2,233,171","2,364,129","4,528,374"
Michigan,MI,"9,986,857",35.89,"3,994,743","5,492,771","499,343","3,795,006","4,494,086","1,697,766","3,395,531","3,595,269","2,296,977","699,080",8,"3,595,269","2,896,189","3,395,531",7,"699,080","9,287,777","5,143,231","4,843,626","5,732,456","4,254,401","1,807,621","8,179,236","6,631,273","3,355,584","3,415,505","6,571,352"
Minnesota,MN,"5,639,632",35.74,"2,086,664","3,270,987","281,982","2,086,664","2,650,627","902,341","1,804,682","2,030,268","1,522,701","281,982",12,"2,086,664","1,579,097","1,973,871",5.6,"315,819","5,323,813","3,090,518","2,549,114","3,107,437","2,532,195","1,094,089","4,545,543","3,970,301","1,669,331","1,703,169","3,936,463"
Mississippi,MS,"2,976,149",85.66,"1,428,552","1,369,029","178,569","1,339,267","1,130,937","505,945","1,279,744","1,041,652","416,661","238,092",4,"1,755,928","863,083","357,138",17.2,"511,898","2,464,251","1,541,645","1,434,504","1,666,643","1,309,506","583,325","2,392,824","1,955,330","1,020,819","1,127,960","1,848,189"
Missouri,MO,"6,137,428",82.17,"2,884,591","2,945,965","306,871","2,761,843","2,332,223","1,043,363","2,332,223","2,148,100","1,288,860","368,246",9,"2,393,597","1,841,228","1,963,977",10.4,"638,293","5,499,135","3,252,837","2,884,591","3,363,311","2,774,117","1,123,149","5,014,279","4,136,626","2,000,802","2,074,451","4,062,977"
Montana,MT,"1,068,778",84.11,"555,765","480,950","32,063","545,077","395,448","128,253","448,887","363,385","224,443","32,063",11,"342,009","309,946","416,823",11.3,"120,772","948,006","609,203","459,575","598,516","470,262","293,914","774,864","756,695","312,083","344,147","724,631"
Nebraska,NE,"1,934,408",81.01,"947,860","909,172","77,376","967,204","677,043","290,161","793,107","638,355","406,226","96,720",12,"889,828","560,978","483,602",11.2,"216,654","1,717,754","1,063,924","870,484","1,013,630","920,778","415,898","1,518,510","1,377,298","557,110","624,814","1,309,594"
