,submission_date,state,tot_cases,new_case,tot_death,new_death,created_at
25829,08/07/2020,NYC,230359,319,23298,7,08/05/2020 12:00:00 AM
25830,10/12/2020,MA,139663,760,9666,26,10/14/2020 12:00:00 AM
25831,09/18/2020,UT,62467,836,437,0,09/19/2020 02:00:26 PM
25832,05/05/2020,GA,28196,602,1258,47,05/06/2020 12:23:08 PM
25833,08/08/2020,WV,7563,130,131,4,08/09/2020 02:03:10 PM
25834,11/05/2020,GA,399017,2410,8126,54,11/06/2020 10:33:41 AM
25835,10/16/2020,FL,739050,3365,15830,94,10/17/2020 02:09:18 PM
25836,02/17/2021,KS,288717,1267,4521,115,02/18/2021 02:43:57 PM
25837,06/02/2020,OK,7685,192,368,2,06/03/2020 12:00:00 AM
25838,04/11/2020,FL,18445,997,446,27,04/10/2020 04:22:39 PM
25839,05/26/2021,PW,0,0,0,0,05/27/2021 01:41:41 PM
25840,01/20/2021,NYC,555310,5958,26291,79,01/18/2021 12:00:00 AM
25841,02/12/2021,CO,411414,1731,5790,9,02/13/2021 02:50:08 PM
25842,04/26/2020,TX,24631,858,881,31,06/30/2021 01:55:54 PM
25843,09/15/2020,HI,10904,98,99,0,09/16/2020 09:53:41 AM
25844,12/28/2020,AS,3,0,0,0,12/29/2020 02:56:32 PM
25845,03/28/2021,TX,2772080,3415,48582,43,03/30/2021 12:00:00 AM
25846,03/09/2020,TX,12,7,0,0,03/11/2020 12:00:00 AM
25847,02/24/2021,AK,55800,177,322,0,02/24/2021 12:00:00 AM
25848,05/16/2021,HI,34180,116,489,1,05/17/2021 02:13:39 PM
25849,03/16/2020,AS,0,0,0,0,03/26/2020 04:22:39 PM
25850,07/21/2020,AR,34665,738,374,11,07/22/2020 02:51:28 PM
25851,02/27/2020,KS,0,0,0,0,03/26/2020 04:22:39 PM
25852,04/29/2021,AS,0,0,0,0,04/30/2021 01:40:40 PM
25853,06/23/2020,PR,6820,135,149,0,06/24/2020 03:03:27 PM
25854,08/12/2020,KS,32547,817,395,8,08/13/2020 02:12:28 PM
25855,09/02/2020,WV,10642,135,230,8,09/03/2020 02:18:16 PM
25856,02/28/2020,UT,0,0,0,0,03/26/2020 04:22:39 PM
