,Data As Of,Group,State,Age Group
0,07/07/2021,By Total,United States,All Ages
1,07/07/2021,By Total,United States,Under 1 year
2,07/07/2021,By Total,United States,0-17 years
3,07/07/2021,By Total,United States,1-4 years
4,07/07/2021,By Total,United States,5-14 years
5,07/07/2021,By Total,United States,15-24 years
6,07/07/2021,By Total,United States,18-29 years
7,07/07/2021,By Total,United States,25-34 years
8,07/07/2021,By Total,United States,30-39 years
9,07/07/2021,By Total,United States,35-44 years
10,07/07/2021,By Total,United States,40-49 years
11,07/07/2021,By Total,United States,45-54 years
12,07/07/2021,By Total,United States,50-64 years
13,07/07/2021,By Total,United States,55-64 years
14,07/07/2021,By Total,United States,65-74 years
15,07/07/2021,By Total,United States,75-84 years
16,07/07/2021,By Total,United States,85 years and over
17,07/07/2021,By Total,United States,All Ages
18,07/07/2021,By Total,United States,Under 1 year
19,07/07/2021,By Total,United States,0-17 years
20,07/07/2021,By Total,United States,1-4 years
21,07/07/2021,By Total,United States,5-14 years
22,07/07/2021,By Total,United States,15-24 years
23,07/07/2021,By Total,United States,18-29 years
24,07/07/2021,By Total,United States,25-34 years
25,07/07/2021,By Total,United States,30-39 years
26,07/07/2021,By Total,United States,35-44 years
27,07/07/2021,By Total,United States,40-49 years
28,07/07/2021,By Total,United States,45-54 years
29,07/07/2021,By Total,United States,50-64 years
30,07/07/2021,By Total,United States,55-64 years
31,07/07/2021,By Total,United States,65-74 years
32,07/07/2021,By Total,United States,75-84 years
33,07/07/2021,By Total,United States,85 years and over
34,07/07/2021,By Total,United States,All Ages
35,07/07/2021,By Total,United States,Under 1 year
36,07/07/2021,By Total,United States,0-17 years
37,07/07/2021,By Total,United States,1-4 years
38,07/07/2021,By Total,United States,5-14 years
39,07/07/2021,By Total,United States,15-24 years
40,07/07/2021,By Total,United States,18-29 years
41,07/07/2021,By Total,United States,25-34 years
42,07/07/2021,By Total,United States,30-39 years
43,07/07/2021,By Total,United States,35-44 years
44,07/07/2021,By Total,United States,40-49 years
45,07/07/2021,By Total,United States,45-54 years
46,07/07/2021,By Total,United States,50-64 years
47,07/07/2021,By Total,United States,55-64 years
48,07/07/2021,By Total,United States,65-74 years
49,07/07/2021,By Total,United States,75-84 years
50,07/07/2021,By Total,United States,85 years and over
51,07/07/2021,By Total,Alabama,All Ages
52,07/07/2021,By Total,Alabama,Under 1 year
53,07/07/2021,By Total,Alabama,0-17 years
54,07/07/2021,By Total,Alabama,1-4 years
55,07/07/2021,By Total,Alabama,5-14 years
56,07/07/2021,By Total,Alabama,15-24 years
57,07/07/2021,By Total,Alabama,18-29 years
58,07/07/2021,By Total,Alabama,25-34 years
59,07/07/2021,By Total,Alabama,30-39 years
60,07/07/2021,By Total,Alabama,35-44 years
61,07/07/2021,By Total,Alabama,40-49 years
62,07/07/2021,By Total,Alabama,45-54 years
63,07/07/2021,By Total,Alabama,50-64 years
64,07/07/2021,By Total,Alabama,55-64 years
65,07/07/2021,By Total,Alabama,65-74 years
66,07/07/2021,By Total,Alabama,75-84 years
67,07/07/2021,By Total,Alabama,85 years and over
68,07/07/2021,By Total,Alabama,All Ages
69,07/07/2021,By Total,Alabama,Under 1 year
70,07/07/2021,By Total,Alabama,0-17 years
71,07/07/2021,By Total,Alabama,1-4 years
72,07/07/2021,By Total,Alabama,5-14 years
73,07/07/2021,By Total,Alabama,15-24 years
74,07/07/2021,By Total,Alabama,18-29 years
75,07/07/2021,By Total,Alabama,25-34 years
76,07/07/2021,By Total,Alabama,30-39 years
77,07/07/2021,By Total,Alabama,35-44 years
78,07/07/2021,By Total,Alabama,40-49 years
79,07/07/2021,By Total,Alabama,45-54 years
80,07/07/2021,By Total,Alabama,50-64 years
81,07/07/2021,By Total,Alabama,55-64 years
82,07/07/2021,By Total,Alabama,65-74 years
83,07/07/2021,By Total,Alabama,75-84 years
84,07/07/2021,By Total,Alabama,85 years and over
85,07/07/2021,By Total,Alabama,All Ages
86,07/07/2021,By Total,Alabama,Under 1 year
87,07/07/2021,By Total,Alabama,0-17 years
88,07/07/2021,By Total,Alabama,1-4 years
89,07/07/2021,By Total,Alabama,5-14 years
90,07/07/2021,By Total,Alabama,15-24 years
91,07/07/2021,By Total,Alabama,18-29 years
92,07/07/2021,By Total,Alabama,25-34 years
93,07/07/2021,By Total,Alabama,30-39 years
94,07/07/2021,By Total,Alabama,35-44 years
95,07/07/2021,By Total,Alabama,40-49 years
96,07/07/2021,By Total,Alabama,45-54 years
97,07/07/2021,By Total,Alabama,50-64 years
98,07/07/2021,By Total,Alabama,55-64 years
99,07/07/2021,By Total,Alabama,65-74 years
100,07/07/2021,By Total,Alabama,75-84 years
101,07/07/2021,By Total,Alabama,85 years and over
102,07/07/2021,By Total,Alaska,All Ages
103,07/07/2021,By Total,Alaska,Under 1 year
104,07/07/2021,By Total,Alaska,0-17 years
105,07/07/2021,By Total,Alaska,1-4 years
106,07/07/2021,By Total,Alaska,5-14 years
107,07/07/2021,By Total,Alaska,15-24 years
108,07/07/2021,By Total,Alaska,18-29 years
109,07/07/2021,By Total,Alaska,25-34 years
110,07/07/2021,By Total,Alaska,30-39 years
111,07/07/2021,By Total,Alaska,35-44 years
112,07/07/2021,By Total,Alaska,40-49 years
113,07/07/2021,By Total,Alaska,45-54 years
114,07/07/2021,By Total,Alaska,50-64 years
115,07/07/2021,By Total,Alaska,55-64 years
116,07/07/2021,By Total,Alaska,65-74 years
117,07/07/2021,By Total,Alaska,75-84 years
118,07/07/2021,By Total,Alaska,85 years and over
119,07/07/2021,By Total,Alaska,All Ages
120,07/07/2021,By Total,Alaska,Under 1 year
121,07/07/2021,By Total,Alaska,0-17 years
122,07/07/2021,By Total,Alaska,1-4 years
123,07/07/2021,By Total,Alaska,5-14 years
124,07/07/2021,By Total,Alaska,15-24 years
125,07/07/2021,By Total,Alaska,18-29 years
126,07/07/2021,By Total,Alaska,25-34 years
127,07/07/2021,By Total,Alaska,30-39 years
128,07/07/2021,By Total,Alaska,35-44 years
129,07/07/2021,By Total,Alaska,40-49 years
130,07/07/2021,By Total,Alaska,45-54 years
131,07/07/2021,By Total,Alaska,50-64 years
132,07/07/2021,By Total,Alaska,55-64 years
133,07/07/2021,By Total,Alaska,65-74 years
134,07/07/2021,By Total,Alaska,75-84 years
135,07/07/2021,By Total,Alaska,85 years and over
136,07/07/2021,By Total,Alaska,All Ages
137,07/07/2021,By Total,Alaska,Under 1 year
138,07/07/2021,By Total,Alaska,0-17 years
139,07/07/2021,By Total,Alaska,1-4 years
140,07/07/2021,By Total,Alaska,5-14 years
141,07/07/2021,By Total,Alaska,15-24 years
142,07/07/2021,By Total,Alaska,18-29 years
143,07/07/2021,By Total,Alaska,25-34 years
144,07/07/2021,By Total,Alaska,30-39 years
145,07/07/2021,By Total,Alaska,35-44 years
146,07/07/2021,By Total,Alaska,40-49 years
147,07/07/2021,By Total,Alaska,45-54 years
148,07/07/2021,By Total,Alaska,50-64 years
149,07/07/2021,By Total,Alaska,55-64 years
150,07/07/2021,By Total,Alaska,65-74 years
151,07/07/2021,By Total,Alaska,75-84 years
152,07/07/2021,By Total,Alaska,85 years and over
153,07/07/2021,By Total,Arizona,All Ages
154,07/07/2021,By Total,Arizona,Under 1 year
155,07/07/2021,By Total,Arizona,0-17 years
156,07/07/2021,By Total,Arizona,1-4 years
157,07/07/2021,By Total,Arizona,5-14 years
158,07/07/2021,By Total,Arizona,15-24 years
159,07/07/2021,By Total,Arizona,18-29 years
160,07/07/2021,By Total,Arizona,25-34 years
161,07/07/2021,By Total,Arizona,30-39 years
162,07/07/2021,By Total,Arizona,35-44 years
163,07/07/2021,By Total,Arizona,40-49 years
164,07/07/2021,By Total,Arizona,45-54 years
165,07/07/2021,By Total,Arizona,50-64 years
166,07/07/2021,By Total,Arizona,55-64 years
167,07/07/2021,By Total,Arizona,65-74 years
168,07/07/2021,By Total,Arizona,75-84 years
169,07/07/2021,By Total,Arizona,85 years and over
170,07/07/2021,By Total,Arizona,All Ages
171,07/07/2021,By Total,Arizona,Under 1 year
172,07/07/2021,By Total,Arizona,0-17 years
173,07/07/2021,By Total,Arizona,1-4 years
174,07/07/2021,By Total,Arizona,5-14 years
175,07/07/2021,By Total,Arizona,15-24 years
176,07/07/2021,By Total,Arizona,18-29 years
177,07/07/2021,By Total,Arizona,25-34 years
178,07/07/2021,By Total,Arizona,30-39 years
179,07/07/2021,By Total,Arizona,35-44 years
180,07/07/2021,By Total,Arizona,40-49 years
181,07/07/2021,By Total,Arizona,45-54 years
182,07/07/2021,By Total,Arizona,50-64 years
183,07/07/2021,By Total,Arizona,55-64 years
184,07/07/2021,By Total,Arizona,65-74 years
185,07/07/2021,By Total,Arizona,75-84 years
186,07/07/2021,By Total,Arizona,85 years and over
187,07/07/2021,By Total,Arizona,All Ages
188,07/07/2021,By Total,Arizona,Under 1 year
189,07/07/2021,By Total,Arizona,0-17 years
190,07/07/2021,By Total,Arizona,1-4 years
191,07/07/2021,By Total,Arizona,5-14 years
192,07/07/2021,By Total,Arizona,15-24 years
193,07/07/2021,By Total,Arizona,18-29 years
194,07/07/2021,By Total,Arizona,25-34 years
195,07/07/2021,By Total,Arizona,30-39 years
196,07/07/2021,By Total,Arizona,35-44 years
197,07/07/2021,By Total,Arizona,40-49 years
198,07/07/2021,By Total,Arizona,45-54 years
199,07/07/2021,By Total,Arizona,50-64 years
200,07/07/2021,By Total,Arizona,55-64 years
201,07/07/2021,By Total,Arizona,65-74 years
202,07/07/2021,By Total,Arizona,75-84 years
203,07/07/2021,By Total,Arizona,85 years and over
204,07/07/2021,By Total,Arkansas,All Ages
205,07/07/2021,By Total,Arkansas,Under 1 year
206,07/07/2021,By Total,Arkansas,0-17 years
207,07/07/2021,By Total,Arkansas,1-4 years
208,07/07/2021,By Total,Arkansas,5-14 years
209,07/07/2021,By Total,Arkansas,15-24 years
210,07/07/2021,By Total,Arkansas,18-29 years
211,07/07/2021,By Total,Arkansas,25-34 years
212,07/07/2021,By Total,Arkansas,30-39 years
213,07/07/2021,By Total,Arkansas,35-44 years
214,07/07/2021,By Total,Arkansas,40-49 years
215,07/07/2021,By Total,Arkansas,45-54 years
216,07/07/2021,By Total,Arkansas,50-64 years
217,07/07/2021,By Total,Arkansas,55-64 years
218,07/07/2021,By Total,Arkansas,65-74 years
219,07/07/2021,By Total,Arkansas,75-84 years
220,07/07/2021,By Total,Arkansas,85 years and over
221,07/07/2021,By Total,Arkansas,All Ages
222,07/07/2021,By Total,Arkansas,Under 1 year
223,07/07/2021,By Total,Arkansas,0-17 years
224,07/07/2021,By Total,Arkansas,1-4 years
225,07/07/2021,By Total,Arkansas,5-14 years
226,07/07/2021,By Total,Arkansas,15-24 years
227,07/07/2021,By Total,Arkansas,18-29 years
228,07/07/2021,By Total,Arkansas,25-34 years
229,07/07/2021,By Total,Arkansas,30-39 years
230,07/07/2021,By Total,Arkansas,35-44 years
231,07/07/2021,By Total,Arkansas,40-49 years
232,07/07/2021,By Total,Arkansas,45-54 years
233,07/07/2021,By Total,Arkansas,50-64 years
234,07/07/2021,By Total,Arkansas,55-64 years
235,07/07/2021,By Total,Arkansas,65-74 years
236,07/07/2021,By Total,Arkansas,75-84 years
237,07/07/2021,By Total,Arkansas,85 years and over
238,07/07/2021,By Total,Arkansas,All Ages
239,07/07/2021,By Total,Arkansas,Under 1 year
240,07/07/2021,By Total,Arkansas,0-17 years
241,07/07/2021,By Total,Arkansas,1-4 years
242,07/07/2021,By Total,Arkansas,5-14 years
243,07/07/2021,By Total,Arkansas,15-24 years
244,07/07/2021,By Total,Arkansas,18-29 years
245,07/07/2021,By Total,Arkansas,25-34 years
246,07/07/2021,By Total,Arkansas,30-39 years
247,07/07/2021,By Total,Arkansas,35-44 years
248,07/07/2021,By Total,Arkansas,40-49 years
249,07/07/2021,By Total,Arkansas,45-54 years
250,07/07/2021,By Total,Arkansas,50-64 years
251,07/07/2021,By Total,Arkansas,55-64 years
252,07/07/2021,By Total,Arkansas,65-74 years
253,07/07/2021,By Total,Arkansas,75-84 years
254,07/07/2021,By Total,Arkansas,85 years and over
255,07/07/2021,By Total,California,All Ages
256,07/07/2021,By Total,California,Under 1 year
257,07/07/2021,By Total,California,0-17 years
258,07/07/2021,By Total,California,1-4 years
259,07/07/2021,By Total,California,5-14 years
260,07/07/2021,By Total,California,15-24 years
261,07/07/2021,By Total,California,18-29 years
262,07/07/2021,By Total,California,25-34 years
263,07/07/2021,By Total,California,30-39 years
264,07/07/2021,By Total,California,35-44 years
265,07/07/2021,By Total,California,40-49 years
266,07/07/2021,By Total,California,45-54 years
267,07/07/2021,By Total,California,50-64 years
268,07/07/2021,By Total,California,55-64 years
269,07/07/2021,By Total,California,65-74 years
270,07/07/2021,By Total,California,75-84 years
271,07/07/2021,By Total,California,85 years and over
272,07/07/2021,By Total,California,All Ages
273,07/07/2021,By Total,California,Under 1 year
274,07/07/2021,By Total,California,0-17 years
275,07/07/2021,By Total,California,1-4 years
276,07/07/2021,By Total,California,5-14 years
277,07/07/2021,By Total,California,15-24 years
278,07/07/2021,By Total,California,18-29 years
279,07/07/2021,By Total,California,25-34 years
280,07/07/2021,By Total,California,30-39 years
281,07/07/2021,By Total,California,35-44 years
282,07/07/2021,By Total,California,40-49 years
283,07/07/2021,By Total,California,45-54 years
284,07/07/2021,By Total,California,50-64 years
285,07/07/2021,By Total,California,55-64 years
286,07/07/2021,By Total,California,65-74 years
287,07/07/2021,By Total,California,75-84 years
288,07/07/2021,By Total,California,85 years and over
289,07/07/2021,By Total,California,All Ages
290,07/07/2021,By Total,California,Under 1 year
291,07/07/2021,By Total,California,0-17 years
292,07/07/2021,By Total,California,1-4 years
293,07/07/2021,By Total,California,5-14 years
294,07/07/2021,By Total,California,15-24 years
295,07/07/2021,By Total,California,18-29 years
296,07/07/2021,By Total,California,25-34 years
297,07/07/2021,By Total,California,30-39 years
298,07/07/2021,By Total,California,35-44 years
299,07/07/2021,By Total,California,40-49 years
300,07/07/2021,By Total,California,45-54 years
301,07/07/2021,By Total,California,50-64 years
302,07/07/2021,By Total,California,55-64 years
303,07/07/2021,By Total,California,65-74 years
304,07/07/2021,By Total,California,75-84 years
305,07/07/2021,By Total,California,85 years and over
306,07/07/2021,By Total,Colorado,All Ages
307,07/07/2021,By Total,Colorado,Under 1 year
308,07/07/2021,By Total,Colorado,0-17 years
309,07/07/2021,By Total,Colorado,1-4 years
310,07/07/2021,By Total,Colorado,5-14 years
311,07/07/2021,By Total,Colorado,15-24 years
312,07/07/2021,By Total,Colorado,18-29 years
313,07/07/2021,By Total,Colorado,25-34 years
314,07/07/2021,By Total,Colorado,30-39 years
315,07/07/2021,By Total,Colorado,35-44 years
316,07/07/2021,By Total,Colorado,40-49 years
317,07/07/2021,By Total,Colorado,45-54 years
318,07/07/2021,By Total,Colorado,50-64 years
319,07/07/2021,By Total,Colorado,55-64 years
320,07/07/2021,By Total,Colorado,65-74 years
321,07/07/2021,By Total,Colorado,75-84 years
322,07/07/2021,By Total,Colorado,85 years and over
323,07/07/2021,By Total,Colorado,All Ages
324,07/07/2021,By Total,Colorado,Under 1 year
325,07/07/2021,By Total,Colorado,0-17 years
326,07/07/2021,By Total,Colorado,1-4 years
327,07/07/2021,By Total,Colorado,5-14 years
328,07/07/2021,By Total,Colorado,15-24 years
329,07/07/2021,By Total,Colorado,18-29 years
330,07/07/2021,By Total,Colorado,25-34 years
331,07/07/2021,By Total,Colorado,30-39 years
332,07/07/2021,By Total,Colorado,35-44 years
333,07/07/2021,By Total,Colorado,40-49 years
334,07/07/2021,By Total,Colorado,45-54 years
335,07/07/2021,By Total,Colorado,50-64 years
336,07/07/2021,By Total,Colorado,55-64 years
337,07/07/2021,By Total,Colorado,65-74 years
338,07/07/2021,By Total,Colorado,75-84 years
339,07/07/2021,By Total,Colorado,85 years and over
340,07/07/2021,By Total,Colorado,All Ages
341,07/07/2021,By Total,Colorado,Under 1 year
342,07/07/2021,By Total,Colorado,0-17 years
343,07/07/2021,By Total,Colorado,1-4 years
344,07/07/2021,By Total,Colorado,5-14 years
345,07/07/2021,By Total,Colorado,15-24 years
346,07/07/2021,By Total,Colorado,18-29 years
347,07/07/2021,By Total,Colorado,25-34 years
348,07/07/2021,By Total,Colorado,30-39 years
349,07/07/2021,By Total,Colorado,35-44 years
350,07/07/2021,By Total,Colorado,40-49 years
351,07/07/2021,By Total,Colorado,45-54 years
352,07/07/2021,By Total,Colorado,50-64 years
353,07/07/2021,By Total,Colorado,55-64 years
354,07/07/2021,By Total,Colorado,65-74 years
355,07/07/2021,By Total,Colorado,75-84 years
356,07/07/2021,By Total,Colorado,85 years and over
357,07/07/2021,By Total,Connecticut,All Ages
358,07/07/2021,By Total,Connecticut,Under 1 year
359,07/07/2021,By Total,Connecticut,0-17 years
360,07/07/2021,By Total,Connecticut,1-4 years
361,07/07/2021,By Total,Connecticut,5-14 years
362,07/07/2021,By Total,Connecticut,15-24 years
363,07/07/2021,By Total,Connecticut,18-29 years
364,07/07/2021,By Total,Connecticut,25-34 years
365,07/07/2021,By Total,Connecticut,30-39 years
366,07/07/2021,By Total,Connecticut,35-44 years
367,07/07/2021,By Total,Connecticut,40-49 years
368,07/07/2021,By Total,Connecticut,45-54 years
369,07/07/2021,By Total,Connecticut,50-64 years
370,07/07/2021,By Total,Connecticut,55-64 years
371,07/07/2021,By Total,Connecticut,65-74 years
372,07/07/2021,By Total,Connecticut,75-84 years
373,07/07/2021,By Total,Connecticut,85 years and over
374,07/07/2021,By Total,Connecticut,All Ages
375,07/07/2021,By Total,Connecticut,Under 1 year
376,07/07/2021,By Total,Connecticut,0-17 years
377,07/07/2021,By Total,Connecticut,1-4 years
378,07/07/2021,By Total,Connecticut,5-14 years
379,07/07/2021,By Total,Connecticut,15-24 years
380,07/07/2021,By Total,Connecticut,18-29 years
381,07/07/2021,By Total,Connecticut,25-34 years
382,07/07/2021,By Total,Connecticut,30-39 years
383,07/07/2021,By Total,Connecticut,35-44 years
384,07/07/2021,By Total,Connecticut,40-49 years
385,07/07/2021,By Total,Connecticut,45-54 years
386,07/07/2021,By Total,Connecticut,50-64 years
387,07/07/2021,By Total,Connecticut,55-64 years
388,07/07/2021,By Total,Connecticut,65-74 years
389,07/07/2021,By Total,Connecticut,75-84 years
390,07/07/2021,By Total,Connecticut,85 years and over
391,07/07/2021,By Total,Connecticut,All Ages
392,07/07/2021,By Total,Connecticut,Under 1 year
393,07/07/2021,By Total,Connecticut,0-17 years
394,07/07/2021,By Total,Connecticut,1-4 years
395,07/07/2021,By Total,Connecticut,5-14 years
396,07/07/2021,By Total,Connecticut,15-24 years
397,07/07/2021,By Total,Connecticut,18-29 years
398,07/07/2021,By Total,Connecticut,25-34 years
399,07/07/2021,By Total,Connecticut,30-39 years
400,07/07/2021,By Total,Connecticut,35-44 years
401,07/07/2021,By Total,Connecticut,40-49 years
402,07/07/2021,By Total,Connecticut,45-54 years
403,07/07/2021,By Total,Connecticut,50-64 years
404,07/07/2021,By Total,Connecticut,55-64 years
405,07/07/2021,By Total,Connecticut,65-74 years
406,07/07/2021,By Total,Connecticut,75-84 years
407,07/07/2021,By Total,Connecticut,85 years and over
408,07/07/2021,By Total,Delaware,All Ages
409,07/07/2021,By Total,Delaware,Under 1 year
410,07/07/2021,By Total,Delaware,0-17 years
411,07/07/2021,By Total,Delaware,1-4 years
412,07/07/2021,By Total,Delaware,5-14 years
413,07/07/2021,By Total,Delaware,15-24 years
414,07/07/2021,By Total,Delaware,18-29 years
415,07/07/2021,By Total,Delaware,25-34 years
416,07/07/2021,By Total,Delaware,30-39 years
417,07/07/2021,By Total,Delaware,35-44 years
418,07/07/2021,By Total,Delaware,40-49 years
419,07/07/2021,By Total,Delaware,45-54 years
420,07/07/2021,By Total,Delaware,50-64 years
421,07/07/2021,By Total,Delaware,55-64 years
422,07/07/2021,By Total,Delaware,65-74 years
423,07/07/2021,By Total,Delaware,75-84 years
424,07/07/2021,By Total,Delaware,85 years and over
425,07/07/2021,By Total,Delaware,All Ages
426,07/07/2021,By Total,Delaware,Under 1 year
427,07/07/2021,By Total,Delaware,0-17 years
428,07/07/2021,By Total,Delaware,1-4 years
429,07/07/2021,By Total,Delaware,5-14 years
430,07/07/2021,By Total,Delaware,15-24 years
431,07/07/2021,By Total,Delaware,18-29 years
432,07/07/2021,By Total,Delaware,25-34 years
433,07/07/2021,By Total,Delaware,30-39 years
434,07/07/2021,By Total,Delaware,35-44 years
435,07/07/2021,By Total,Delaware,40-49 years
436,07/07/2021,By Total,Delaware,45-54 years
437,07/07/2021,By Total,Delaware,50-64 years
438,07/07/2021,By Total,Delaware,55-64 years
439,07/07/2021,By Total,Delaware,65-74 years
440,07/07/2021,By Total,Delaware,75-84 years
441,07/07/2021,By Total,Delaware,85 years and over
442,07/07/2021,By Total,Delaware,All Ages
443,07/07/2021,By Total,Delaware,Under 1 year
444,07/07/2021,By Total,Delaware,0-17 years
445,07/07/2021,By Total,Delaware,1-4 years
446,07/07/2021,By Total,Delaware,5-14 years
447,07/07/2021,By Total,Delaware,15-24 years
448,07/07/2021,By Total,Delaware,18-29 years
449,07/07/2021,By Total,Delaware,25-34 years
450,07/07/2021,By Total,Delaware,30-39 years
451,07/07/2021,By Total,Delaware,35-44 years
452,07/07/2021,By Total,Delaware,40-49 years
453,07/07/2021,By Total,Delaware,45-54 years
454,07/07/2021,By Total,Delaware,50-64 years
455,07/07/2021,By Total,Delaware,55-64 years
456,07/07/2021,By Total,Delaware,65-74 years
457,07/07/2021,By Total,Delaware,75-84 years
458,07/07/2021,By Total,Delaware,85 years and over
459,07/07/2021,By Total,District of Columbia,All Ages
460,07/07/2021,By Total,District of Columbia,Under 1 year
461,07/07/2021,By Total,District of Columbia,0-17 years
462,07/07/2021,By Total,District of Columbia,1-4 years
463,07/07/2021,By Total,District of Columbia,5-14 years
464,07/07/2021,By Total,District of Columbia,15-24 years
465,07/07/2021,By Total,District of Columbia,18-29 years
466,07/07/2021,By Total,District of Columbia,25-34 years
467,07/07/2021,By Total,District of Columbia,30-39 years
468,07/07/2021,By Total,District of Columbia,35-44 years
469,07/07/2021,By Total,District of Columbia,40-49 years
470,07/07/2021,By Total,District of Columbia,45-54 years
471,07/07/2021,By Total,District of Columbia,50-64 years
472,07/07/2021,By Total,District of Columbia,55-64 years
473,07/07/2021,By Total,District of Columbia,65-74 years
474,07/07/2021,By Total,District of Columbia,75-84 years
475,07/07/2021,By Total,District of Columbia,85 years and over
476,07/07/2021,By Total,District of Columbia,All Ages
477,07/07/2021,By Total,District of Columbia,Under 1 year
478,07/07/2021,By Total,District of Columbia,0-17 years
479,07/07/2021,By Total,District of Columbia,1-4 years
480,07/07/2021,By Total,District of Columbia,5-14 years
481,07/07/2021,By Total,District of Columbia,15-24 years
482,07/07/2021,By Total,District of Columbia,18-29 years
483,07/07/2021,By Total,District of Columbia,25-34 years
484,07/07/2021,By Total,District of Columbia,30-39 years
485,07/07/2021,By Total,District of Columbia,35-44 years
486,07/07/2021,By Total,District of Columbia,40-49 years
487,07/07/2021,By Total,District of Columbia,45-54 years
488,07/07/2021,By Total,District of Columbia,50-64 years
489,07/07/2021,By Total,District of Columbia,55-64 years
490,07/07/2021,By Total,District of Columbia,65-74 years
491,07/07/2021,By Total,District of Columbia,75-84 years
492,07/07/2021,By Total,District of Columbia,85 years and over
493,07/07/2021,By Total,District of Columbia,All Ages
494,07/07/2021,By Total,District of Columbia,Under 1 year
495,07/07/2021,By Total,District of Columbia,0-17 years
496,07/07/2021,By Total,District of Columbia,1-4 years
497,07/07/2021,By Total,District of Columbia,5-14 years
498,07/07/2021,By Total,District of Columbia,15-24 years
499,07/07/2021,By Total,District of Columbia,18-29 years
500,07/07/2021,By Total,District of Columbia,25-34 years
501,07/07/2021,By Total,District of Columbia,30-39 years
502,07/07/2021,By Total,District of Columbia,35-44 years
503,07/07/2021,By Total,District of Columbia,40-49 years
504,07/07/2021,By Total,District of Columbia,45-54 years
505,07/07/2021,By Total,District of Columbia,50-64 years
506,07/07/2021,By Total,District of Columbia,55-64 years
507,07/07/2021,By Total,District of Columbia,65-74 years
508,07/07/2021,By Total,District of Columbia,75-84 years
509,07/07/2021,By Total,District of Columbia,85 years and over
510,07/07/2021,By Total,Florida,All Ages
511,07/07/2021,By Total,Florida,Under 1 year
512,07/07/2021,By Total,Florida,0-17 years
513,07/07/2021,By Total,Florida,1-4 years
514,07/07/2021,By Total,Florida,5-14 years
515,07/07/2021,By Total,Florida,15-24 years
516,07/07/2021,By Total,Florida,18-29 years
517,07/07/2021,By Total,Florida,25-34 years
518,07/07/2021,By Total,Florida,30-39 years
519,07/07/2021,By Total,Florida,35-44 years
520,07/07/2021,By Total,Florida,40-49 years
521,07/07/2021,By Total,Florida,45-54 years
522,07/07/2021,By Total,Florida,50-64 years
523,07/07/2021,By Total,Florida,55-64 years
524,07/07/2021,By Total,Florida,65-74 years
525,07/07/2021,By Total,Florida,75-84 years
526,07/07/2021,By Total,Florida,85 years and over
527,07/07/2021,By Total,Florida,All Ages
528,07/07/2021,By Total,Florida,Under 1 year
529,07/07/2021,By Total,Florida,0-17 years
530,07/07/2021,By Total,Florida,1-4 years
531,07/07/2021,By Total,Florida,5-14 years
532,07/07/2021,By Total,Florida,15-24 years
533,07/07/2021,By Total,Florida,18-29 years
534,07/07/2021,By Total,Florida,25-34 years
535,07/07/2021,By Total,Florida,30-39 years
536,07/07/2021,By Total,Florida,35-44 years
537,07/07/2021,By Total,Florida,40-49 years
538,07/07/2021,By Total,Florida,45-54 years
539,07/07/2021,By Total,Florida,50-64 years
540,07/07/2021,By Total,Florida,55-64 years
541,07/07/2021,By Total,Florida,65-74 years
542,07/07/2021,By Total,Florida,75-84 years
543,07/07/2021,By Total,Florida,85 years and over
544,07/07/2021,By Total,Florida,All Ages
545,07/07/2021,By Total,Florida,Under 1 year
546,07/07/2021,By Total,Florida,0-17 years
547,07/07/2021,By Total,Florida,1-4 years
548,07/07/2021,By Total,Florida,5-14 years
549,07/07/2021,By Total,Florida,15-24 years
550,07/07/2021,By Total,Florida,18-29 years
551,07/07/2021,By Total,Florida,25-34 years
552,07/07/2021,By Total,Florida,30-39 years
553,07/07/2021,By Total,Florida,35-44 years
554,07/07/2021,By Total,Florida,40-49 years
555,07/07/2021,By Total,Florida,45-54 years
556,07/07/2021,By Total,Florida,50-64 years
557,07/07/2021,By Total,Florida,55-64 years
558,07/07/2021,By Total,Florida,65-74 years
559,07/07/2021,By Total,Florida,75-84 years
560,07/07/2021,By Total,Florida,85 years and over
561,07/07/2021,By Total,Georgia,All Ages
562,07/07/2021,By Total,Georgia,Under 1 year
563,07/07/2021,By Total,Georgia,0-17 years
564,07/07/2021,By Total,Georgia,1-4 years
565,07/07/2021,By Total,Georgia,5-14 years
566,07/07/2021,By Total,Georgia,15-24 years
567,07/07/2021,By Total,Georgia,18-29 years
568,07/07/2021,By Total,Georgia,25-34 years
569,07/07/2021,By Total,Georgia,30-39 years
570,07/07/2021,By Total,Georgia,35-44 years
571,07/07/2021,By Total,Georgia,40-49 years
572,07/07/2021,By Total,Georgia,45-54 years
573,07/07/2021,By Total,Georgia,50-64 years
574,07/07/2021,By Total,Georgia,55-64 years
575,07/07/2021,By Total,Georgia,65-74 years
576,07/07/2021,By Total,Georgia,75-84 years
577,07/07/2021,By Total,Georgia,85 years and over
578,07/07/2021,By Total,Georgia,All Ages
579,07/07/2021,By Total,Georgia,Under 1 year
580,07/07/2021,By Total,Georgia,0-17 years
581,07/07/2021,By Total,Georgia,1-4 years
582,07/07/2021,By Total,Georgia,5-14 years
583,07/07/2021,By Total,Georgia,15-24 years
584,07/07/2021,By Total,Georgia,18-29 years
585,07/07/2021,By Total,Georgia,25-34 years
